trabajo_nombre,empresa,lugar_trabajo,tipo_empleo,link_empleo
cocinero/a,Romagnoli Group,"Capital Federal, Retiro",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cocineroa-12am-a-10-pm-en-retiro-332964A302C81AF361373E686DCF3405#lc=ListOffers-Score-13
analista de impuestos,MOVIA MARIA BELEN,"Capital Federal, Balvanera",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-impuestos-sr-hibrido-caba-en-balvanera-4D383C425FEFD75461373E686DCF3405#lc=ListOffers-Score-14
barista,BONALDI SRL,"Capital Federal, Recoleta",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-barista-turno-manana-y-tarde-en-recoleta-28F74FD86725A57D61373E686DCF3405#lc=ListOffers-Score-15
"encargado/a, camarero/a, bartender, cajero",Bilbao Argentina,"Capital Federal, Palermo",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-encargadoa-camareroa-bartender-cajero-ambos-turnos-en-palermo-17BBBFB969E6785961373E686DCF3405#lc=ListOffers-Score-16
Vendedor,SUEVIA GROUP S.A.,"Capital Federal, San Nicolás",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedor-de-articulos-de-alta-gama-en-san-nicolas-F7A7209B453F656E61373E686DCF3405#lc=ListOffers-Score-17
cocinero/a,Importante empresa del sector,"Capital Federal, Recoleta",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cocineroa-turno-tarde-en-recoleta-C19979D74CC5FA1261373E686DCF3405#lc=ListOffers-Score-18
operario/a de limpieza,AMERICAN PARK GROUP,"Capital Federal, San Telmo",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operarioa-de-limpieza-turno-manana-y-turno-tarde-en-san-telmo-A555C5D69DF73F1261373E686DCF3405#lc=ListOffers-Score-19
operario/a de limpieza,AMERICAN PARK GROUP,"Capital Federal, San Telmo",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operarioa-de-limpieza-turno-manana-y-turno-tarde-en-san-telmo-A555C5D69DF73F1261373E686DCF3405#lc=ListOffers-Score-0
Vendedor,Equidad Consultora,"Capital Federal, Caballito",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedor-desarrollos-inmobiliarios-en-caballito-D0D0D5B6C8F7EDFD61373E686DCF3405#lc=ListOffers-Score-1
Mecánico alineador,MLYNKIEWICZ MARIANO,"Capital Federal, Villa Ortúzar",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-mecanico-alineador-diurno-con-experiencia-en-villa-ortuzar-C0DB169AABAF3E7061373E686DCF3405#lc=ListOffers-Score-2
Cocinero,Hotel Spa República,,Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cocinero-ayudante-de-cocina-en-retiro-83372A78AA043F4261373E686DCF3405#lc=ListOffers-Score-3
Vendedor de Planes de Ahorro,ARRIETA MARIA CECILIA,"Capital Federal, Almagro",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedor-de-planes-de-ahorro-en-almagro-7B9B6DE5890ECBB861373E686DCF3405#lc=ListOffers-Score-4
Técnicos para Mantenimiento Edilicio,TalentGems,"Capital Federal, Parque Patricios",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicos-para-mantenimiento-edilicio-exp-en-electricidad-en-parque-patricios-099177F3BABFF7EE61373E686DCF3405#lc=ListOffers-Score-5
camarero/a,Luogo Caffe,"Capital Federal, Villa Urquiza",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-camareroa-camareroa-con-experiencia-en-villa-urquiza-815FF07BD8FC540E61373E686DCF3405#lc=ListOffers-Score-6
Estudiantes avanzados de Ingenieria Civil,Importante empresa,"Capital Federal, Villa Crespo",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-estudiantes-avanzados-de-ingenieria-civil-en-villa-crespo-87CBA416BA5973FC61373E686DCF3405#lc=ListOffers-Score-7
CABA / Cuidadores Masculinos con manejo de Técnicas de Movilización,Importante empresa del sector,"Capital Federal, Belgrano",Hace 15 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-caba-cuidadores-masculinos-con-manejo-de-tecnicas-de-movilizacion-lunes-a-viernes-12-horas-dia-en-belgrano-D0DA7B0F1AEE5DC961373E686DCF3405#lc=ListOffers-Score-8
Asesores comerciales con y sin inglés,Grupo ABANS,,Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesores-comerciales-con-y-sin-ingles-caba-en-belgrano-341C1994F13F120B61373E686DCF3405#lc=ListOffers-Score-9
Administrador Infra BackUps Semi Senior,C&S informática s.a.,,Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-administrador-infra-backups-semi-senior-en-san-nicolas-1E3615E5867755B961373E686DCF3405#lc=ListOffers-Score-10
Camarera,Sasha Pasteles,"Capital Federal, Recoleta",Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-camarera-en-recoleta-31E5A13CF44BD2CF61373E686DCF3405#lc=ListOffers-Score-11
Gerente Administrativo con Experiencia en Comercio Exterior y Sector Metalúrgico,MS Coach Sandoval,,Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gerente-administrativo-con-experiencia-en-comercio-exterior-y-sector-metalurgico-en-villa-pueyrredon-B4C3449A93F6D75F61373E686DCF3405#lc=ListOffers-Score-12
Operario de Depósito (Experiencia en MercadoLibre) para Empresa Líder de Comercio Electrónico,MS Coach Sandoval,,Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-deposito-experiencia-en-mercadolibre-para-empresa-lider-de-comercio-electronico-en-boedo-7FEBEF047120F56261373E686DCF3405#lc=ListOffers-Score-13
Ingeniero de Ventas para Compañía Multinacional de Automatización Industrial,MS Coach Sandoval,,Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-ventas-para-compania-multinacional-de-automatizacion-industrial-cia-multinacional-de-automatizacion-industrial-en-nunez-3DD53065E89D756D61373E686DCF3405#lc=ListOffers-Score-14
Asesor de ventas,Importante empresa del sector,"Capital Federal, Retiro",Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-en-retiro-ACE416B32E7BEC8661373E686DCF3405#lc=ListOffers-Score-15
Operador de Monitoreo,Chaxxel Recursos Humanos,,Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operador-de-monitoreo-turnos-rotativos-en-recoleta-83D6F4F657D3393F61373E686DCF3405#lc=ListOffers-Score-16
Ref: 18787 Operador de Sistema María,ADN - Recursos Humanos,,Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-18787-operador-de-sistema-maria-recoleta-en-recoleta-19C72F41578BE5A361373E686DCF3405#lc=ListOffers-Score-17
Técnico Electrónico/Informatiico Jr,IIC SA,"Capital Federal, Monserrat",Hace 16 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-electronicoinformatiico-jr-similar-en-monserrat-5C898F0B51C79A5A61373E686DCF3405#lc=ListOffers-Score-18
