trabajo_nombre,empresa,lugar_trabajo,tipo_empleo,link_empleo
Cajero/a gastronomico,LA GAYOLA,"Capital Federal, San Nicolás",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajeroa-gastronomico-maxirest-en-san-nicolas-2FF89B413AE318CD61373E686DCF3405#lc=ListOffers-Score-5
selector/a de personal,SUSHI CAÑITAS S.A.,"Capital Federal, Villa Crespo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-selectora-de-personal-con-exp-perfiles-gastronomicos-en-villa-crespo-13924D9445028EFA61373E686DCF3405#lc=ListOffers-Score-6
franquera de personal de limpieza,La Barca Hotel,"Capital Federal, Balvanera",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-franquera-de-personal-de-limpieza-en-balvanera-41A8CD6B82127E7961373E686DCF3405#lc=ListOffers-Score-7
Vendedores y Encargados para local de indumentaria,ENDAVANT,"Capital Federal, Flores",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-vendedores-y-encargados-para-local-de-indumentaria-en-flores-A9EC0DEDCF6097E061373E686DCF3405#lc=ListOffers-Score-8
costurero/a,ALL DENIM SA,"Capital Federal, Floresta",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-costureroa-muestrista-en-floresta-FB30FBE68F8E134A61373E686DCF3405#lc=ListOffers-Score-9
Ayudante de cocina,DELIGUSTO S.R.L,"Capital Federal, Caballito",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ayudante-de-cocina-manana-y-tarde-noche-en-caballito-7DED38E155BC238861373E686DCF3405#lc=ListOffers-Score-10
Personal de Maestranza femenino  Zona CABA,Cerberus S.A.,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-personal-de-maestranza-femenino-zona-caba-en-villa-devoto-8A90A89FFE73D9F161373E686DCF3405#lc=ListOffers-Score-11
Community manager,Grupo ABANS,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-community-manager-caba-en-belgrano-108C114EA1A22D3061373E686DCF3405#lc=ListOffers-Score-12
Desarrollador .Net Core Ssr,Ecosistemas,,Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-net-core-ssr-ref-3224-en-retiro-7C6008B90340D37961373E686DCF3405#lc=ListOffers-Score-13
encargado deposito,LA GAYOLA,"Capital Federal, San Nicolás",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-encargado-deposito-manana-en-san-nicolas-E67421CDC82E672A61373E686DCF3405#lc=ListOffers-Score-14
Analista Contable,DK Consultores SRL,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-con-perfil-impositivo-en-palermo-BE6B391CECFB769661373E686DCF3405#lc=ListOffers-Score-15
Contador Público,DK Consultores SRL,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-contador-publico-para-auditoria-en-palermo-D89FE2DEAE1F26D661373E686DCF3405#lc=ListOffers-Score-16
chef cocinero,Klub Polaco,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-chef-cocinero-con-experiencia-y-contactos-de-referencias-en-palermo-0C0B7089269847A961373E686DCF3405#lc=ListOffers-Score-17
Analista Contable,MESSI JUAN PABLO,"Capital Federal, Palermo",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-contable-caba-palermo-chico-en-palermo-1A03A60FDF922F6961373E686DCF3405#lc=ListOffers-Score-18
cajero encargado,moulin express,"Capital Federal, Villa Lugano",Hace 22 horas,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajero-encargado-con-experiencia-en-villa-lugano-4E064606F446F64561373E686DCF3405#lc=ListOffers-Score-19
